
These predictions were generated by SeaState on 29-Aug-2025 at 12:34:18.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    0.0000  -0.7474650E-01  -0.1528196E+00  -0.4363110E-01   0.5450842E+00   0.4841802E+00   0.1018822E+01   0.9982672E+00   0.1000040E+01   0.1556753E+01   0.1511787E+01  -0.9483314E+00   0.4301240E+00   0.7521968E-01   0.8636132E+00  -0.4141596E+00  -0.7897384E+03  -0.1608886E+04  -0.4543239E+03   0.5309985E+04   0.4696921E+04
    0.2000  -0.2176866E+00  -0.1211967E+00  -0.9068087E-01   0.6883934E+00   0.4100955E+00   0.7990497E+00   0.1060208E+01   0.1038632E+01   0.1744947E+01   0.1428918E+01  -0.8954430E+00   0.1266881E-02  -0.2068203E+00   0.9828628E+00  -0.4325787E+00  -0.2128488E+04  -0.1331980E+04  -0.9998319E+03   0.6678691E+04   0.3984712E+04
    0.4000  -0.3489034E+00  -0.1336740E+00  -0.1845666E+00   0.8107085E+00   0.3093179E+00   0.5979958E+00   0.9967219E+00   0.9097619E+00   0.2001588E+01   0.1304969E+01  -0.8528990E+00  -0.3896987E+00  -0.6773870E+00   0.7658331E+00  -0.6219394E+00  -0.3355262E+04  -0.1400450E+04  -0.1885335E+04   0.7744438E+04   0.3016921E+04
    0.6000  -0.4555053E+00  -0.1652716E+00  -0.2903460E+00   0.8358324E+00   0.1960054E+00   0.4087019E+00   0.8840241E+00   0.7617954E+00   0.2067440E+01   0.1177395E+01  -0.6178100E+00  -0.3657156E+00  -0.6143276E+00  -0.2492689E+00  -0.4423194E+00  -0.4324416E+04  -0.1626625E+04  -0.2865163E+04   0.7944135E+04   0.1908170E+04
    0.8000  -0.5014972E+00  -0.1814596E+00  -0.3941850E+00   0.7471182E+00   0.8578542E-01   0.3313729E+00   0.8200729E+00   0.5837437E+00   0.1916510E+01   0.1110456E+01  -0.4550109E-02  -0.1505679E+00  -0.7007442E+00  -0.9177945E+00  -0.5398369E+00  -0.4750916E+04  -0.1739981E+04  -0.3795521E+04   0.7142271E+04   0.7674954E+03
    1.0000  -0.4763249E+00  -0.1765338E+00  -0.4529447E+00   0.5769798E+00  -0.6390021E-01   0.3947659E+00   0.7960011E+00   0.4964715E+00   0.1632189E+01   0.9188533E+00   0.3492401E+00  -0.2252275E-01   0.1079831E+00  -0.1316018E+01  -0.1090835E+01  -0.4546512E+04  -0.1666144E+04  -0.4341960E+04   0.5593328E+04  -0.6766069E+03
    1.2000  -0.4091385E+00  -0.1463552E+00  -0.4401165E+00   0.3731206E+00  -0.2389628E+00   0.4873278E+00   0.8137008E+00   0.6049122E+00   0.1328777E+01   0.6451751E+00   0.5342001E+00   0.2706709E+00   0.3626550E+00  -0.1240239E+01  -0.1202486E+01  -0.3916174E+04  -0.1360826E+04  -0.4319171E+04   0.3697309E+04  -0.2297105E+04
    1.4000  -0.2951026E+00  -0.7984979E-01  -0.4221578E+00   0.1648284E+00  -0.4082237E+00   0.6699795E+00   0.9259406E+00   0.6615101E+00   0.1034719E+01   0.3324563E+00   0.9313561E+00   0.5849050E+00   0.9248731E-01  -0.1188704E+01  -0.1211787E+01  -0.2869687E+04  -0.7599905E+03  -0.4189511E+04   0.1743015E+04  -0.3807220E+04
    1.6000  -0.1596276E+00   0.4254150E-03  -0.4113764E+00  -0.7880107E-02  -0.5114784E+00   0.8880357E+00   0.1072247E+01   0.6594056E+00   0.8395259E+00   0.1243645E+00   0.7499634E+00   0.5084093E+00  -0.3156919E-01  -0.4600949E+00  -0.2856601E+00  -0.1632731E+04  -0.4662390E+02  -0.4063241E+04   0.6662393E+02  -0.4713406E+04
